model,fold,epoch,train_loss,val_loss,train_acc,val_acc
vit_po,0,1,2.1882159235526104,2.104699379327346,0.17848,0.21104
vit_po,0,2,2.0826766144256204,2.057342104157623,0.21848,0.23116
vit_po,0,3,2.0371950566768646,2.06788845755616,0.23848,0.21124
vit_po,0,4,2.0014501201863193,1.9917597557817186,0.24732,0.2562
vit_po,0,5,1.9764969069130567,1.9746132845781288,0.25748,0.25744
vit_po,0,6,1.9631824456915563,1.9476221903246276,0.26724,0.27208
vit_po,0,7,1.9510312603444468,1.9944214176158517,0.27688,0.259
vit_po,0,8,1.9391581878370168,1.9305869936943054,0.27796,0.27736
vit_po,0,9,1.9143806185041154,1.9213332977830146,0.29148,0.28332
vit_po,0,10,1.8948929808577712,1.8925509112221854,0.29996,0.2964
vit_po,0,11,1.8853768669829076,1.8976217648204492,0.30516,0.29516
vit_po,0,12,1.873644010144837,1.860208968726956,0.31124,0.31508
vit_po,0,13,1.8677928855224533,1.8922415588583266,0.30968,0.30024
vit_po,0,14,1.8605851427632936,1.8618758326890517,0.31596,0.3164
vit_po,0,15,1.8430976825101035,1.8709080188858265,0.32292,0.31064
vit_po,0,16,1.8385379977372227,1.8368141645071459,0.3268,0.31672
vit_po,0,17,1.8298958941381804,1.8232314690035216,0.32912,0.32664
vit_po,0,18,1.8203623203598722,1.8200482768671853,0.33128,0.33312
vit_po,0,19,1.8037420626805754,1.8144248930775388,0.33616,0.33304
vit_po,0,20,1.8010831511750514,1.8358490406250467,0.3376,0.32444
vit_po,1,1,2.18715462149406,2.1016198366272207,0.1702,0.20576
vit_po,1,2,2.07471317782694,2.0519064166107954,0.21792,0.2248
vit_po,1,3,2.0168819512639726,1.98775116521485,0.24692,0.25952
vit_po,1,4,1.9778698567225008,1.9517019585687287,0.26532,0.27916
vit_po,1,5,1.9458796442771444,1.9418582831110274,0.27908,0.28748
vit_po,1,6,1.9195376202768208,1.9104467429676835,0.29556,0.29572
vit_po,1,7,1.906047772388069,1.8968811333179474,0.29832,0.30452
vit_po,1,8,1.8979681900569372,1.9057592457654524,0.29992,0.29824
vit_po,1,9,1.8872862725841755,1.9084094239740956,0.30604,0.29952
vit_po,1,10,1.8845717627175,1.8663870674006793,0.30708,0.3198
vit_po,1,11,1.878314030413725,1.8801796539705626,0.312,0.30772
vit_po,1,12,1.8671343454292841,1.8662113316205082,0.31708,0.31372
vit_po,1,13,1.8585134434456727,1.870890309616011,0.32032,0.32096
vit_po,1,14,1.848227996607216,1.8814541077127263,0.3268,0.31092
vit_po,1,15,1.8508073048932212,1.848624039669426,0.32264,0.32136
vit_po,1,16,1.839921386874452,1.8401598498529317,0.3302,0.329
vit_po,1,17,1.8319026736580595,1.842160966931557,0.32936,0.327
vit_po,1,18,1.825522776769132,1.824399037020547,0.33056,0.33216
vit_po,1,19,1.8182234502568537,1.8273185576711382,0.33908,0.33492
vit_po,1,20,1.8124491803500118,1.8423268886245028,0.3392,0.32076
vit_pf,0,1,2.160087421840551,2.069231330131998,0.1868,0.21376
vit_pf,0,2,2.049973262816059,2.033630135716224,0.22896,0.25012
vit_pf,0,3,2.0050575781841666,2.024184503117386,0.25124,0.2402
vit_pf,0,4,1.9667625743515638,1.9688429856786922,0.2676,0.26488
vit_pf,0,5,1.9525764359503377,1.9364339234877606,0.27296,0.28224
vit_pf,0,6,1.9250454008579254,1.9033545261743117,0.28764,0.2966
vit_pf,0,7,1.9113865397414382,1.9137634215306263,0.29188,0.2866
vit_pf,0,8,1.8935927645284303,1.8767055339959202,0.3026,0.30528
vit_pf,0,9,1.876510425489776,1.924052287729419,0.31096,0.2892
vit_pf,0,10,1.8681033369229765,1.8516426433105857,0.31344,0.31744
vit_pf,0,11,1.8535054849118602,1.9000986340094586,0.31828,0.30508
vit_pf,0,12,1.8449019491672516,1.8312119050901763,0.32256,0.32736
vit_pf,0,13,1.828004886909407,1.8440198040738398,0.32952,0.31888
vit_pf,0,14,1.8175218087069842,1.8069154614088487,0.33524,0.33656
vit_pf,0,15,1.803522837405302,1.8125076366930593,0.33836,0.33228
vit_pf,0,16,1.7950968097667306,1.7885409021864132,0.34512,0.3442
vit_pf,0,17,1.7898167025069802,1.808583386090337,0.34792,0.3304
vit_pf,0,18,1.7752817060266222,1.7869425117969513,0.35212,0.33992
vit_pf,0,19,1.77442497562389,1.7752004910488517,0.35412,0.34732
vit_pf,0,20,1.7625814816173242,1.7585472555793062,0.35784,0.36016
vit_pf,1,1,2.168471399618655,2.087849490496577,0.18296,0.21964
vit_pf,1,2,2.0553727837241427,2.048991144919882,0.229,0.24148
vit_pf,1,3,2.024982066787019,2.025709736712125,0.24,0.24568
vit_pf,1,4,2.0037560219667396,1.9880131556063283,0.251,0.259
vit_pf,1,5,1.9726109139773311,2.013502907388064,0.2632,0.24912
vit_pf,1,6,1.9537067127471068,1.932066789086984,0.27512,0.291
vit_pf,1,7,1.9347969159788014,1.921023674157201,0.28204,0.28856
vit_pf,1,8,1.9150969428675515,1.9052804726727155,0.2906,0.30368
vit_pf,1,9,1.9077605586879107,1.8783537496109397,0.29472,0.31272
vit_pf,1,10,1.886967499645389,1.8660601815398858,0.30804,0.3172
vit_pf,1,11,1.8808579463131574,1.872877364255944,0.30952,0.31312
vit_pf,1,12,1.8668082356452942,1.8578488747684323,0.31256,0.32464
vit_pf,1,13,1.8597181342086013,1.8674283185783698,0.31576,0.31764
vit_pf,1,14,1.8525568709081532,1.8336322313668776,0.3214,0.33416
vit_pf,1,15,1.8304423349244254,1.848929118745181,0.32676,0.32336
vit_pf,1,16,1.8208903451355136,1.8112797834435288,0.33212,0.33364
vit_pf,1,17,1.815154218552064,1.803782657701142,0.3312,0.34296
vit_pf,1,18,1.811284777461266,1.8231334418666607,0.33116,0.33516
vit_pf,1,19,1.8010958974458733,1.8047557461018464,0.336,0.34112
vit_pf,1,20,1.7972345303516,1.8111136908433876,0.33584,0.33524
vit_pok,0,1,2.144730808783551,2.192589978782498,0.1964,0.16484
vit_pok,0,2,2.056705277185051,2.0532057826616326,0.22904,0.22376
vit_pok,0,3,2.0288387549166775,2.020717423789355,0.2408,0.24136
vit_pok,0,4,2.0076043812596067,2.024161085182307,0.24696,0.23936
vit_pok,0,5,1.9853389737557392,1.9836756088295762,0.26024,0.26188
vit_pok,0,6,1.9621725465570177,1.9523008380617415,0.27212,0.27976
vit_pok,0,7,1.9352369527427518,1.9520037016090082,0.2808,0.27776
vit_pok,0,8,1.9173839524084209,1.9362467332762114,0.2886,0.28408
vit_pok,0,9,1.9049701088545274,1.9116234341446234,0.29244,0.28952
vit_pok,0,10,1.890976216720075,1.890503356651384,0.30188,0.30024
vit_pok,0,11,1.8804129806100105,1.890582102293871,0.30284,0.30404
vit_pok,0,12,1.8681173494883947,1.8760068288871221,0.3096,0.30896
vit_pok,0,13,1.8677049370444552,1.8751950951255099,0.30916,0.3032
vit_pok,0,14,1.8564771407720995,1.8794681660983028,0.31728,0.30136
vit_pok,0,15,1.8524180103321464,1.867106908438157,0.3214,0.31112
vit_pok,0,16,1.8439036942258173,1.8508756793275172,0.32148,0.31344
vit_pok,0,17,1.8283898623622195,1.8312761497740844,0.32896,0.32408
vit_pok,0,18,1.8246790645073871,1.858086729536251,0.33048,0.31884
vit_pok,0,19,1.8195062656791843,1.8538539902288087,0.33316,0.31836
vit_pok,0,20,1.8144834686298759,1.8347589343178028,0.33636,0.32608
vit_pok,1,1,2.2064096477566935,2.0999544481841887,0.16484,0.20596
vit_pok,1,2,2.0719983224966088,2.037771969425435,0.21556,0.23268
vit_pok,1,3,2.041861337058398,2.0338414147192116,0.2296,0.23464
vit_pok,1,4,2.0263801515102386,2.0106329127233855,0.23288,0.23748
vit_pok,1,5,2.012784561332391,2.0060631949074414,0.24348,0.24456
vit_pok,1,6,1.999170061885094,2.066810358543785,0.2468,0.21772
vit_pok,1,7,1.983898083774411,1.9549313929616188,0.25624,0.27248
vit_pok,1,8,1.9585198334285192,1.9930465416032441,0.26828,0.26016
vit_pok,1,9,1.9431084838448738,1.936331674152491,0.27676,0.28644
vit_pok,1,10,1.9191476958138602,1.8939258346752244,0.28848,0.29824
vit_pok,1,11,1.8975203098083029,1.8915956488677435,0.2974,0.301
vit_pok,1,12,1.8800373716013772,1.8614339141213163,0.30296,0.3146
vit_pok,1,13,1.8541616329124995,1.84867104583857,0.31784,0.32052
vit_pok,1,14,1.837332227400371,1.8752441509645812,0.32148,0.31652
vit_pok,1,15,1.8323482329748115,1.8501144775322504,0.32184,0.31308
vit_pok,1,16,1.8136972827570779,1.8515821093199205,0.33088,0.3108
vit_pok,1,17,1.7969565665235325,1.8311199466792905,0.336,0.32224
vit_pok,1,18,1.7920353576845052,1.8194260615475324,0.3402,0.33128
vit_pok,1,19,1.7781902265791991,1.7692837885447912,0.3406,0.35552
vit_pok,1,20,1.772645932071063,1.8257147578560575,0.34436,0.32212
vit_pfk,0,1,2.1690533459186554,2.0797208505017415,0.17992,0.21644
vit_pfk,0,2,2.0721455702976304,2.0517894686484826,0.21756,0.22804
vit_pfk,0,3,2.0510064205344842,2.0410946236581218,0.22784,0.23516
vit_pfk,0,4,2.0413674298597844,2.029847178532153,0.23428,0.24088
vit_pfk,0,5,2.0195795626056436,2.030394916023527,0.2392,0.23632
vit_pfk,0,6,2.0103960006820913,2.029184930178584,0.2482,0.2406
vit_pfk,0,7,1.9828731338588559,1.9780162159277468,0.25772,0.26036
vit_pfk,0,8,1.9563460526417713,1.9490209100197773,0.2676,0.27392
vit_pfk,0,9,1.9420273139768718,1.9400673721517836,0.27908,0.27652
vit_pfk,0,10,1.9231254914585425,1.9115743332979631,0.28872,0.28932
vit_pfk,0,11,1.911124694712308,1.9384250993631325,0.29232,0.28708
vit_pfk,0,12,1.9037308522633143,1.9003618809641625,0.2982,0.2928
vit_pfk,0,13,1.8934786520442184,1.8927492481105181,0.29724,0.3016
vit_pfk,0,14,1.8894303349816068,1.8803555071353912,0.30316,0.305
vit_pfk,0,15,1.8787442628218203,1.8807806214507745,0.30684,0.31024
vit_pfk,0,16,1.870190678202376,1.8739606069058787,0.31312,0.30748
vit_pfk,0,17,1.8638727470320098,1.8567918070725031,0.31432,0.31864
vit_pfk,0,18,1.8591901161232773,1.854117533990315,0.31592,0.31672
vit_pfk,0,19,1.8503653382768437,1.8429515386114315,0.32284,0.32268
vit_pfk,0,20,1.8499612212181091,1.8578798515456063,0.3216,0.31756
vit_pfk,1,1,2.2180534248449364,2.1106321507570693,0.1632,0.20436
vit_pfk,1,2,2.0845607981389884,2.0721998853342876,0.21212,0.21412
vit_pfk,1,3,2.055884782757078,2.0419501054043674,0.22176,0.22464
vit_pfk,1,4,2.0421340678419386,2.0325994680122452,0.22624,0.22244
vit_pfk,1,5,2.023932091435608,2.0054692115102495,0.23632,0.24608
vit_pfk,1,6,1.9831332503532877,1.9751732075700954,0.25652,0.26016
vit_pfk,1,7,1.9513114879325943,1.9577307135474926,0.27052,0.27304
vit_pfk,1,8,1.9185786204678672,1.909294172817347,0.28668,0.29372
vit_pfk,1,9,1.9072971027724597,1.9321033729582417,0.29048,0.28644
vit_pfk,1,10,1.893915091242109,1.8825142517381785,0.2938,0.30196
vit_pfk,1,11,1.8916229921944288,1.890519841593139,0.28888,0.29884
vit_pfk,1,12,1.8824535000080964,1.8733589332930896,0.29536,0.30716
vit_pfk,1,13,1.8767431986575225,1.8785328311579568,0.29504,0.29528
vit_pfk,1,14,1.8737237380475413,1.8792263190357053,0.29512,0.29884
vit_pfk,1,15,1.8683440843406989,1.8634076757090432,0.29952,0.30316
vit_pfk,1,16,1.8596425494369195,1.858670917700748,0.30312,0.30392
vit_pfk,1,17,1.8588474155688772,1.857750916359376,0.30468,0.30528
