model,fold,epoch,train_loss,val_loss,train_acc,val_acc
vit_po,0,1,2.1866078364605808,2.1035092710232246,0.17092,0.19924
vit_po,0,2,2.089538268896998,2.06402401109131,0.20728,0.22116
vit_po,0,3,2.0471600646875343,2.0313425009347954,0.22324,0.23408
vit_po,0,4,2.026048101332723,2.0137423307311777,0.23576,0.2564
vit_po,0,5,1.9883917284255126,2.010423958909755,0.25732,0.24844
vit_po,0,6,1.9573568726072506,1.959377874525226,0.27288,0.27572
vit_po,0,7,1.935484020685663,1.9342046185415618,0.2816,0.28056
vit_po,0,8,1.9121172300406866,1.9488739499023982,0.292,0.27564
vit_po,0,9,1.8838700871078335,1.8954298435425272,0.30288,0.29984
vit_po,0,10,1.8717621777738844,1.8642182818480901,0.3096,0.3114
vit_po,0,11,1.8529695588715223,1.8679988615366878,0.31756,0.30868
vit_po,0,12,1.8395159840583801,1.837865948677063,0.32548,0.32196
vit_po,0,13,1.825294972074275,1.824537064956159,0.32688,0.32608
vit_po,0,14,1.8132981767459793,1.8063827065788969,0.32828,0.33416
vit_po,0,15,1.8031620322441568,1.7997133652774655,0.3344,0.33196
vit_po,0,16,1.7974589661676057,1.8131480782615894,0.33996,0.33112
vit_po,0,17,1.7752519517528766,1.8035855524393978,0.34956,0.33888
vit_po,0,18,1.7720348050399704,1.8304596014168797,0.35064,0.32896
vit_po,0,19,1.753101368947905,1.7444419793936672,0.35556,0.36028
vit_po,0,20,1.7440958223780807,1.7525201628402787,0.36224,0.35788
vit_po,0,21,1.73500664440953,1.7548926807179743,0.36528,0.35344
vit_po,0,22,1.7243759997036991,1.7713650829937992,0.3704,0.3516
vit_po,0,23,1.7218765731976957,1.7146486658222821,0.37228,0.36704
vit_po,0,24,1.7095375584096324,1.7177154446134761,0.37432,0.36936
vit_po,0,25,1.7021507055175549,1.7251282790485694,0.37744,0.36968
vit_po,0,26,1.6900789342364486,1.7000500115813042,0.37968,0.37852
vit_po,0,27,1.6944221933277286,1.712971078498023,0.38,0.36968
vit_po,0,28,1.6837089213789727,1.6961758848355741,0.38488,0.38064
vit_po,0,29,1.6830364745490405,1.690619830574308,0.38352,0.37848
vit_po,0,30,1.6759314391077782,1.7685931215480881,0.38636,0.36008
vit_po,1,1,2.190148054337015,2.1144159728167007,0.16084,0.20224
vit_po,1,2,2.0834454267608877,2.056809959362964,0.21532,0.23464
vit_po,1,3,2.0420882543739007,2.0276642867497037,0.22876,0.2384
vit_po,1,4,2.0123088359832764,1.9908401734974919,0.24828,0.25308
vit_po,1,5,1.9846330777722963,1.9808517378203723,0.25996,0.26644
vit_po,1,6,1.9579153316361564,1.9411546429809259,0.27156,0.27932
vit_po,1,7,1.9319802504412982,1.930198339175205,0.28608,0.28636
vit_po,1,8,1.9211926709632485,1.9043187912629576,0.28984,0.30244
vit_po,1,9,1.9005719064449778,1.8875550414834703,0.29996,0.30832
vit_po,1,10,1.8793527982672866,1.8838377509798323,0.31072,0.30224
vit_po,1,11,1.8739539622044077,1.9013658390969645,0.3114,0.29956
vit_po,1,12,1.859616035101365,1.848912920878858,0.31536,0.3254
vit_po,1,13,1.8422656989827448,1.835375462259565,0.32504,0.3326
vit_po,1,14,1.8309931006966804,1.8457846896989005,0.328,0.31568
vit_po,1,15,1.828892089274465,1.8261742622268444,0.327,0.33152
vit_po,1,16,1.8076886644168777,1.8050596817415587,0.3356,0.34016
vit_po,1,17,1.8080095898131936,1.834204040011581,0.33756,0.32632
vit_po,1,18,1.7956864091814781,1.796162807211584,0.33912,0.34148
vit_po,1,19,1.784541015114103,1.7772318015293198,0.34384,0.34408
vit_po,1,20,1.7763197415945482,1.799963254709633,0.348,0.34036
vit_po,1,21,1.7614748757712695,1.7533156847467228,0.35328,0.35904
vit_po,1,22,1.7634304658490785,1.8044324906504885,0.34992,0.33912
vit_po,1,23,1.7522404120892894,1.7508436605638387,0.35636,0.35996
vit_po,1,24,1.7451056491355508,1.7642959106941611,0.36036,0.35636
vit_po,1,25,1.7454294258234453,1.737942361710023,0.36024,0.3608
vit_po,1,26,1.7338893170259437,1.750191060255985,0.3652,0.3574
vit_po,1,27,1.728232463403624,1.729480304280106,0.36472,0.36752
vit_po,1,28,1.7194770227889626,1.7303762168300396,0.36664,0.36256
vit_po,1,29,1.7136879849190614,1.7246947623029047,0.3706,0.3668
vit_po,1,30,1.7132189979358596,1.7131344791577787,0.3734,0.37504
vit_pf,0,1,2.199208886647711,2.1003721970684675,0.16516,0.20092
vit_pf,0,2,2.0788432329284903,2.0632750495355956,0.20848,0.22496
vit_pf,0,3,2.031514324703995,2.019225258000043,0.23352,0.23864
vit_pf,0,4,1.9953795647134587,1.9784437442312435,0.254,0.26696
vit_pf,0,5,1.974198230067078,1.96075888495056,0.27084,0.2784
vit_pf,0,6,1.9502910107982403,1.9502417238391176,0.28232,0.28512
vit_pf,0,7,1.9430389629334819,1.944126392505607,0.286,0.27948
vit_pf,0,8,1.9237494395703685,1.925500023729947,0.29368,0.29116
vit_pf,0,9,1.9103744291529363,1.898547584913215,0.2978,0.30632
vit_pf,0,10,1.8953684981988401,1.8982100036679481,0.30556,0.30776
vit_pf,0,11,1.8826403690844167,1.8865572256701333,0.31448,0.3052
vit_pf,0,12,1.876157513078378,1.8694346419402532,0.3146,0.31892
vit_pf,0,13,1.8565017325537545,1.8451131272072694,0.32132,0.33108
vit_pf,0,14,1.8433453915070515,1.830185825727424,0.3304,0.33332
vit_pf,0,15,1.83125159570149,1.8223787211641973,0.33468,0.33604
vit_pf,0,16,1.819185997758593,1.8080511981127214,0.33948,0.3448
vit_pf,0,17,1.8144107229855595,1.8246837678004284,0.3394,0.33616
vit_pf,0,18,1.803788394952307,1.8192290505584405,0.34492,0.33496
vit_pf,0,19,1.7858556502935838,1.8021362721920013,0.34996,0.34064
vit_pf,0,20,1.7798302076300796,1.7705253514708306,0.35416,0.3568
vit_pf,0,21,1.7648708747357738,1.7702428601226028,0.36016,0.35056
vit_pf,0,22,1.7528921578611647,1.7844453654727157,0.36412,0.34796
vit_pf,0,23,1.7494490505481253,1.7395005749196422,0.36396,0.36168
vit_pf,0,24,1.7410466470280472,1.7289940362073937,0.36812,0.36884
vit_pf,0,25,1.7338340464903383,1.7382730105701758,0.3704,0.36028
vit_pf,0,26,1.726340160077932,1.7406336056942842,0.3742,0.36444
vit_pf,0,27,1.7195887298000103,1.7147862394245303,0.37176,0.36624
vit_pf,0,28,1.7128251128050747,1.7383012990562283,0.3744,0.36204
vit_pf,0,29,1.7049196289510142,1.7274288869633967,0.37664,0.366
vit_pf,0,30,1.7097846433824422,1.7021650872668441,0.374,0.37396
